D11;LED_YELLOW;LEDC1608X55N_FLAT-Y;53.000;39.500;90.0;TOP;SMD
F1;MF-PSMF035X-2;F0805;37.250;94.750;270.0;TOP;SMD
S1;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;4.750;4.250;180.0;TOP;SMD
S2;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;16.250;4.250;180.0;TOP;SMD
S3;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;27.750;4.250;180.0;TOP;SMD
S4;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;39.250;4.250;180.0;TOP;SMD
S5;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;50.750;4.250;180.0;TOP;SMD
S6;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;62.250;4.250;180.0;TOP;SMD
S7;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;73.750;4.250;180.0;TOP;SMD
S8;TS-1187A-B-A-B;TACTILE_SWITCH_SMD_5.2MM;85.250;4.250;180.0;TOP;SMD
D3;WS2812B;WS2812B;5.000;39.500;270.0;TOP;SMD
LS1;F/CM12P;CM12P/5.0P;24.500;77.500;0.0;TOP;THT
LS2;F/CM12P;CM12P/5.0P;38.000;77.500;0.0;TOP;THT
LS3;F/CM12P;CM12P/5.0P;12.000;73.000;0.0;TOP;THT
LS4;F/CM12P;CM12P/5.0P;50.500;73.000;0.0;TOP;THT
LS5;F/CM12P;CM12P/5.0P;31.250;66.250;0.0;TOP;THT
LS6;F/CM12P;CM12P/5.0P;19.000;62.000;0.0;TOP;THT
LS7;F/CM12P;CM12P/5.0P;43.500;62.000;0.0;TOP;THT
LS8;F/CM12P;CM12P/5.0P;31.250;53.250;0.0;TOP;THT
